Model,MAE,RMSE,MAPE (%)
Baseline (Lag-168),656.0152447161762,818.2547520902622,3.0135315022409834
XGBoost,446.51093298952645,557.4144864123875,2.061149152347502
Genetic Programming,574.8362654140949,717.9786768087216,2.6618795476970587
